epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,793.009,0.82974,0.79919,1.01548,0.90404,0.86771,0.91328,0.69899,0.90714,0.63205,1.0291,9.16e-05,9.16e-05,9.16e-05
66,805.264,0.85395,0.8236,1.02358,0.9277,0.85347,0.91997,0.69838,0.92859,0.64355,1.03736,8.9125e-05,8.9125e-05,8.9125e-05
67,817.355,0.83425,0.7968,1.01163,0.90043,0.88154,0.92584,0.69673,0.93674,0.62831,1.04582,8.665e-05,8.665e-05,8.665e-05
68,829.407,0.84283,0.80133,1.01512,0.90083,0.8643,0.9139,0.67643,0.99938,0.64517,1.07215,8.4175e-05,8.4175e-05,8.4175e-05
69,841.569,0.81244,0.77811,1.0009,0.90837,0.87279,0.92095,0.70253,0.90408,0.62421,1.02892,8.17e-05,8.17e-05,8.17e-05
70,853.591,0.81275,0.78385,1.00433,0.93057,0.85085,0.91869,0.68887,0.93585,0.62708,1.03893,7.9225e-05,7.9225e-05,7.9225e-05
71,865.645,0.8273,0.80257,1.01588,0.91878,0.85621,0.91898,0.69475,0.93237,0.62138,1.03647,7.675e-05,7.675e-05,7.675e-05
72,877.811,0.82019,0.78418,1.00567,0.92863,0.85149,0.91565,0.69243,0.93859,0.63006,1.04201,7.4275e-05,7.4275e-05,7.4275e-05
73,889.928,0.81138,0.78012,1.00606,0.91661,0.86658,0.92081,0.69235,0.93447,0.61948,1.0398,7.18e-05,7.18e-05,7.18e-05
74,902.067,0.80977,0.76755,0.99899,0.93604,0.84708,0.92483,0.70247,0.91501,0.61414,1.03308,6.9325e-05,6.9325e-05,6.9325e-05
75,914.154,0.8071,0.75894,1.00371,0.9346,0.83638,0.91342,0.67684,0.99542,0.63508,1.06618,6.685e-05,6.685e-05,6.685e-05
76,926.249,0.79888,0.76242,0.99717,0.91116,0.8565,0.91662,0.70123,0.90582,0.61565,1.02937,6.4375e-05,6.4375e-05,6.4375e-05
77,938.457,0.79576,0.76539,0.99595,0.92296,0.86349,0.91825,0.69861,0.93319,0.61158,1.04395,6.19e-05,6.19e-05,6.19e-05
78,950.516,0.79712,0.75612,0.99386,0.91978,0.8592,0.92002,0.69304,0.93559,0.61011,1.03579,5.9425e-05,5.9425e-05,5.9425e-05
79,962.671,0.78489,0.74528,0.99056,0.89948,0.87707,0.91761,0.6972,0.92848,0.60966,1.03953,5.695e-05,5.695e-05,5.695e-05
80,974.799,0.80094,0.75521,1.00247,0.92264,0.83105,0.91256,0.67666,0.98313,0.62618,1.05692,5.4475e-05,5.4475e-05,5.4475e-05
81,986.852,0.78333,0.7465,0.99488,0.92429,0.86546,0.91462,0.69243,0.93825,0.60985,1.04175,5.2e-05,5.2e-05,5.2e-05
82,999.006,0.79124,0.74313,0.99029,0.87564,0.89397,0.92108,0.69232,0.9451,0.61053,1.04443,4.9525e-05,4.9525e-05,4.9525e-05
83,1011.14,0.79379,0.75641,0.99741,0.88966,0.87187,0.91521,0.69072,0.9465,0.61333,1.04737,4.705e-05,4.705e-05,4.705e-05
84,1023.16,0.78412,0.74517,0.99259,0.89605,0.87105,0.91829,0.69084,0.97305,0.62448,1.05292,4.4575e-05,4.4575e-05,4.4575e-05
85,1035.29,0.78499,0.73589,0.98798,0.92499,0.85643,0.92026,0.70131,0.9281,0.61277,1.03594,4.21e-05,4.21e-05,4.21e-05
86,1047.35,0.77547,0.73772,0.98255,0.91084,0.87442,0.92192,0.69321,0.94854,0.61472,1.04714,3.9625e-05,3.9625e-05,3.9625e-05
87,1059.51,0.78237,0.75459,0.99307,0.91439,0.87953,0.92584,0.7025,0.92181,0.59752,1.03377,3.715e-05,3.715e-05,3.715e-05
88,1072.07,0.77035,0.72947,0.983,0.90842,0.87473,0.9238,0.69789,0.94153,0.601,1.03985,3.4675e-05,3.4675e-05,3.4675e-05
89,1084.2,0.78096,0.73974,0.9926,0.91092,0.87783,0.92073,0.6966,0.92834,0.60095,1.03994,3.22e-05,3.22e-05,3.22e-05
90,1096.41,0.77251,0.73559,0.99098,0.90626,0.88224,0.91909,0.69717,0.92461,0.60586,1.03645,2.9725e-05,2.9725e-05,2.9725e-05
91,1109.78,0.70959,0.53939,0.96031,0.90161,0.87967,0.92421,0.69748,0.94019,0.61056,1.03886,2.725e-05,2.725e-05,2.725e-05
92,1121.77,0.70411,0.51729,0.95205,0.90298,0.88278,0.92342,0.69676,0.92808,0.60135,1.03637,2.4775e-05,2.4775e-05,2.4775e-05
93,1133.8,0.68775,0.51121,0.94393,0.91646,0.88117,0.925,0.70032,0.92073,0.6035,1.03326,2.23e-05,2.23e-05,2.23e-05
94,1145.75,0.69284,0.50242,0.9487,0.90647,0.88573,0.92115,0.6947,0.92787,0.6055,1.03663,1.9825e-05,1.9825e-05,1.9825e-05
95,1157.75,0.68974,0.50914,0.94901,0.91168,0.87107,0.92206,0.69625,0.92999,0.60056,1.03346,1.735e-05,1.735e-05,1.735e-05
96,1169.79,0.68921,0.51145,0.95131,0.9164,0.87053,0.92394,0.7054,0.91166,0.58863,1.02917,1.4875e-05,1.4875e-05,1.4875e-05
97,1181.72,0.67885,0.50497,0.94503,0.90875,0.87815,0.92254,0.69896,0.93555,0.60019,1.0375,1.24e-05,1.24e-05,1.24e-05
98,1193.83,0.67324,0.49884,0.93791,0.90856,0.88272,0.92401,0.70233,0.92311,0.59491,1.03257,9.925e-06,9.925e-06,9.925e-06
99,1205.77,0.67547,0.49835,0.9401,0.91128,0.87502,0.92176,0.6956,0.94472,0.60164,1.04066,7.45e-06,7.45e-06,7.45e-06
100,1217.71,0.66864,0.4969,0.93716,0.9083,0.87972,0.92211,0.69707,0.93012,0.59731,1.03676,4.975e-06,4.975e-06,4.975e-06
